n_1_Poa_annua,n_2_Helianthus_annuus,n_3_Phyllostachys_edulis,n_4_Orchis_stoneplacensis,n_5_Pleurotus_ostreatus,n_6_Yi_qi,n_7_Triops_longicaudatus,species_alive,total_pop,year
221,183,252,239,130,,,5,1025,0.0
302,281,361,430,206,,,5,1580,2.0
677,481,621,1105,510,,,5,3394,4.0
1316,1118,1415,2325,1190,,,5,7364,6.0
3192,2490,2919,5354,2979,,,5,16934,8.0
7842,6476,7097,11952,7774,,,5,41141,10.0
13140,12628,12914,13803,13930,,,5,66415,12.0
14199,13749,13598,13823,15003,,,5,70372,14.0
13972,14069,14054,14001,14442,32,31,7,70601,16.0
14607,14436,14400,14168,15145,6,9,7,72771,18.0
13820,14159,14042,14426,14660,2,4,7,71113,20.0
13970,14361,14794,14233,14724,1,0,6,72083,22.0
14327,14536,14128,14114,15017,0,0,5,72122,24.0
14483,14192,14411,14210,15130,0,0,5,72426,26.0
14098,14846,13794,14117,15283,0,0,5,72138,28.0
14290,14765,14367,14082,15153,0,0,5,72657,30.0
14366,14763,14249,14747,15073,0,0,5,73198,32.0
14951,14755,14763,14735,15418,0,0,5,74622,34.0
14488,14497,15076,14867,15235,0,0,5,74163,36.0
15077,14701,14845,14682,15190,0,0,5,74495,38.0
